순번,위도,경도,,
94,35.16673634,129.177415,"[35.16673634, 129.177415]","[35.16673634, 129.177415]"
95,35.17299384,129.1703897,"[35.17299384, 129.1703897]","[35.17299384, 129.1703897]"
96,35.17311395,129.1703285,"[35.17311395, 129.1703285]","[35.17311395, 129.1703285]"
97,35.17335553,129.169098,"[35.17335553, 129.169098]","[35.17335553, 129.169098]"
98,35.17403314,129.1722507,"[35.17403314, 129.1722507]","[35.17403314, 129.1722507]"
99,35.17422746,129.1726736,"[35.17422746, 129.1726736]","[35.17422746, 129.1726736]"
100,35.17457564,129.1753363,"[35.17457564, 129.1753363]","[35.17457564, 129.1753363]"
101,35.17366103,129.1675279,"[35.17366103, 129.1675279]","[35.17366103, 129.1675279]"
102,35.17098636,129.140133,"[35.17098636, 129.140133]","[35.17098636, 129.140133]"
103,35.16668533,129.1687269,"[35.16668533, 129.1687269]","[35.16668533, 129.1687269]"
104,35.16672091,129.1710749,"[35.16672091, 129.1710749]","[35.16672091, 129.1710749]"
105,35.16660512,129.1711738,"[35.16660512, 129.1711738]","[35.16660512, 129.1711738]"
106,35.20396654,129.1224348,"[35.20396654, 129.1224348]","[35.20396654, 129.1224348]"
107,35.17812822,129.1749596,"[35.17812822, 129.1749596]","[35.17812822, 129.1749596]"
108,35.17531287,129.1270937,"[35.17531287, 129.1270937]","[35.17531287, 129.1270937]"
109,35.17376728,129.1301021,"[35.17376728, 129.1301021]","[35.17376728, 129.1301021]"
110,35.16496077,129.1398944,"[35.16496077, 129.1398944]","[35.16496077, 129.1398944]"
111,35.18302434,129.1265036,"[35.18302434, 129.1265036]","[35.18302434, 129.1265036]"
112,35.18847002,129.1266686,"[35.18847002, 129.1266686]","[35.18847002, 129.1266686]"
113,35.16585493,129.1846789,"[35.16585493, 129.1846789]","[35.16585493, 129.1846789]"
114,35.16642083,129.1839758,"[35.16642083, 129.1839758]","[35.16642083, 129.1839758]"
115,35.19898063,129.1227849,"[35.19898063, 129.1227849]","[35.19898063, 129.1227849]"
116,35.15966545,129.1449017,"[35.15966545, 129.1449017]","[35.15966545, 129.1449017]"
117,35.19607617,129.118342,"[35.19607617, 129.118342]","[35.19607617, 129.118342]"
118,35.18226668,129.2041519,"[35.18226668, 129.2041519]","[35.18226668, 129.2041519]"
119,35.1693221,129.1389034,"[35.1693221, 129.1389034]","[35.1693221, 129.1389034]"
120,35.17816698,129.1248232,"[35.17816698, 129.1248232]","[35.17816698, 129.1248232]"
121,35.16145899,129.1424743,"[35.16145899, 129.1424743]","[35.16145899, 129.1424743]"
122,35.16082932,129.1637709,"[35.16082932, 129.1637709]","[35.16082932, 129.1637709]"
123,35.16133804,129.1638358,"[35.16133804, 129.1638358]","[35.16133804, 129.1638358]"
124,35.16234502,129.1650886,"[35.16234502, 129.1650886]","[35.16234502, 129.1650886]"
125,35.23059007,129.1572947,"[35.23059007, 129.1572947]","[35.23059007, 129.1572947]"
126,35.23058018,129.157522,"[35.23058018, 129.157522]","[35.23058018, 129.157522]"
127,35.17017549,129.175318,"[35.17017549, 129.175318]","[35.17017549, 129.175318]"
128,35.23001217,129.1564614,"[35.23001217, 129.1564614]","[35.23001217, 129.1564614]"
129,35.23011708,129.1567525,"[35.23011708, 129.1567525]","[35.23011708, 129.1567525]"
130,35.22955542,129.1596408,"[35.22955542, 129.1596408]","[35.22955542, 129.1596408]"
131,35.22942814,129.1596815,"[35.22942814, 129.1596815]","[35.22942814, 129.1596815]"
132,35.16614985,129.1630525,"[35.16614985, 129.1630525]","[35.16614985, 129.1630525]"
133,35.16421049,129.1602212,"[35.16421049, 129.1602212]","[35.16421049, 129.1602212]"
134,35.19503956,129.1278021,"[35.19503956, 129.1278021]","[35.19503956, 129.1278021]"
135,35.19475174,129.1302977,"[35.19475174, 129.1302977]","[35.19475174, 129.1302977]"
136,35.20772728,129.1229283,"[35.20772728, 129.1229283]","[35.20772728, 129.1229283]"
137,35.20885361,129.1237958,"[35.20885361, 129.1237958]","[35.20885361, 129.1237958]"
138,35.22534359,129.148276,"[35.22534359, 129.148276]","[35.22534359, 129.148276]"
139,35.22551087,129.1472773,"[35.22551087, 129.1472773]","[35.22551087, 129.1472773]"
140,35.19438084,129.1253265,"[35.19438084, 129.1253265]","[35.19438084, 129.1253265]"
141,35.16255075,129.1779091,"[35.16255075, 129.1779091]","[35.16255075, 129.1779091]"
142,35.1734543,129.1809726,"[35.1734543, 129.1809726]","[35.1734543, 129.1809726]"
143,35.16842432,129.1763212,"[35.16842432, 129.1763212]","[35.16842432, 129.1763212]"
144,35.16696283,129.1777741,"[35.16696283, 129.1777741]","[35.16696283, 129.1777741]"
145,35.16793422,129.16727,"[35.16793422, 129.16727]","[35.16793422, 129.16727]"
146,35.17478453,129.1738559,"[35.17478453, 129.1738559]","[35.17478453, 129.1738559]"
147,35.17469687,129.175642,"[35.17469687, 129.175642]","[35.17469687, 129.175642]"
148,35.17482571,129.1752746,"[35.17482571, 129.1752746]","[35.17482571, 129.1752746]"
149,35.1749666,129.1754854,"[35.1749666, 129.1754854]","[35.1749666, 129.1754854]"
150,35.21068701,129.1255496,"[35.21068701, 129.1255496]","[35.21068701, 129.1255496]"
151,35.17583025,129.1793407,"[35.17583025, 129.1793407]","[35.17583025, 129.1793407]"
152,35.19301265,129.1232007,"[35.19301265, 129.1232007]","[35.19301265, 129.1232007]"
153,35.16689049,129.1714293,"[35.16689049, 129.1714293]","[35.16689049, 129.1714293]"
154,35.17607659,129.179171,"[35.17607659, 129.179171]","[35.17607659, 129.179171]"
155,35.16479499,129.1434367,"[35.16479499, 129.1434367]","[35.16479499, 129.1434367]"
156,35.19725973,129.1235694,"[35.19725973, 129.1235694]","[35.19725973, 129.1235694]"
157,35.19738364,129.1236081,"[35.19738364, 129.1236081]","[35.19738364, 129.1236081]"
158,35.22740794,129.1485595,"[35.22740794, 129.1485595]","[35.22740794, 129.1485595]"
159,35.16989347,129.129661,"[35.16989347, 129.129661]","[35.16989347, 129.129661]"
160,35.16999104,129.1293988,"[35.16999104, 129.1293988]","[35.16999104, 129.1293988]"
161,35.16763973,129.1800467,"[35.16763973, 129.1800467]","[35.16763973, 129.1800467]"
162,35.16741654,129.180919,"[35.16741654, 129.180919]","[35.16741654, 129.180919]"
163,35.22978419,129.1526878,"[35.22978419, 129.1526878]","[35.22978419, 129.1526878]"
164,35.16404719,129.1567513,"[35.16404719, 129.1567513]","[35.16404719, 129.1567513]"
165,35.20187223,129.1237034,"[35.20187223, 129.1237034]","[35.20187223, 129.1237034]"
166,35.20437442,129.1204034,"[35.20437442, 129.1204034]","[35.20437442, 129.1204034]"
167,35.17997363,129.1268235,"[35.17997363, 129.1268235]","[35.17997363, 129.1268235]"
168,35.16610152,129.1332903,"[35.16610152, 129.1332903]","[35.16610152, 129.1332903]"
169,35.16695542,129.1826499,"[35.16695542, 129.1826499]","[35.16695542, 129.1826499]"
170,35.1671122,129.182126,"[35.1671122, 129.182126]","[35.1671122, 129.182126]"
171,35.19183606,129.1205787,"[35.19183606, 129.1205787]","[35.19183606, 129.1205787]"
172,35.19171742,129.12065,"[35.19171742, 129.12065]","[35.19171742, 129.12065]"
173,35.18075252,129.1201807,"[35.18075252, 129.1201807]","[35.18075252, 129.1201807]"
174,35.1716845,129.1334225,"[35.1716845, 129.1334225]","[35.1716845, 129.1334225]"
175,35.1700523,129.1625864,"[35.1700523, 129.1625864]","[35.1700523, 129.1625864]"
176,35.22134246,129.1446527,"[35.22134246, 129.1446527]","[35.22134246, 129.1446527]"
177,35.22132698,129.1444908,"[35.22132698, 129.1444908]","[35.22132698, 129.1444908]"
178,35.16771154,129.1793705,"[35.16771154, 129.1793705]","[35.16771154, 129.1793705]"
179,35.16787373,129.1794437,"[35.16787373, 129.1794437]","[35.16787373, 129.1794437]"
180,35.16856852,129.1766293,"[35.16856852, 129.1766293]","[35.16856852, 129.1766293]"
181,35.17298029,129.1758617,"[35.17298029, 129.1758617]","[35.17298029, 129.1758617]"
182,35.1726139,129.1761179,"[35.1726139, 129.1761179]","[35.1726139, 129.1761179]"
183,35.16774554,129.1669596,"[35.16774554, 129.1669596]","[35.16774554, 129.1669596]"
184,35.16875117,129.1681435,"[35.16875117, 129.1681435]","[35.16875117, 129.1681435]"
185,35.17041779,129.1694449,"[35.17041779, 129.1694449]","[35.17041779, 129.1694449]"
186,35.17197854,129.1700893,"[35.17197854, 129.1700893]","[35.17197854, 129.1700893]"
187,35.1777938,129.1748191,"[35.1777938, 129.1748191]","[35.1777938, 129.1748191]"
188,35.17736974,129.1763899,"[35.17736974, 129.1763899]","[35.17736974, 129.1763899]"
189,35.17776205,129.1765435,"[35.17776205, 129.1765435]","[35.17776205, 129.1765435]"
190,35.17654785,129.1743514,"[35.17654785, 129.1743514]","[35.17654785, 129.1743514]"
191,35.21332208,129.1227332,"[35.21332208, 129.1227332]","[35.21332208, 129.1227332]"
192,35.17991526,129.1756359,"[35.17991526, 129.1756359]","[35.17991526, 129.1756359]"
193,35.17978698,129.177308,"[35.17978698, 129.177308]","[35.17978698, 129.177308]"
194,35.1779851,129.1696306,"[35.1779851, 129.1696306]","[35.1779851, 129.1696306]"
195,35.17039098,129.1783527,"[35.17039098, 129.1783527]","[35.17039098, 129.1783527]"
196,35.21807013,129.1206318,"[35.21807013, 129.1206318]","[35.21807013, 129.1206318]"
197,35.18104515,129.1211769,"[35.18104515, 129.1211769]","[35.18104515, 129.1211769]"
198,35.18130478,129.1212653,"[35.18130478, 129.1212653]","[35.18130478, 129.1212653]"
199,35.17548591,129.1271026,"[35.17548591, 129.1271026]","[35.17548591, 129.1271026]"
200,35.17530739,129.1273834,"[35.17530739, 129.1273834]","[35.17530739, 129.1273834]"
201,35.18164261,129.1995953,"[35.18164261, 129.1995953]","[35.18164261, 129.1995953]"
202,35.18275088,129.2003211,"[35.18275088, 129.2003211]","[35.18275088, 129.2003211]"
203,35.16473649,129.1823376,"[35.16473649, 129.1823376]","[35.16473649, 129.1823376]"
204,35.17394209,129.1301246,"[35.17394209, 129.1301246]","[35.17394209, 129.1301246]"
205,35.17373855,129.1303571,"[35.17373855, 129.1303571]","[35.17373855, 129.1303571]"
206,35.22984925,129.1485607,"[35.22984925, 129.1485607]","[35.22984925, 129.1485607]"
207,35.16778689,129.1335412,"[35.16778689, 129.1335412]","[35.16778689, 129.1335412]"
208,35.16755678,129.1337188,"[35.16755678, 129.1337188]","[35.16755678, 129.1337188]"
209,35.16213724,129.1668896,"[35.16213724, 129.1668896]","[35.16213724, 129.1668896]"
210,35.17250567,129.131416,"[35.17250567, 129.131416]","[35.17250567, 129.131416]"
211,35.17227715,129.1313887,"[35.17227715, 129.1313887]","[35.17227715, 129.1313887]"
212,35.17223562,129.1316078,"[35.17223562, 129.1316078]","[35.17223562, 129.1316078]"
213,35.17240777,129.1316393,"[35.17240777, 129.1316393]","[35.17240777, 129.1316393]"
214,35.18830412,129.1264092,"[35.18830412, 129.1264092]","[35.18830412, 129.1264092]"
215,35.18866772,129.1266248,"[35.18866772, 129.1266248]","[35.18866772, 129.1266248]"
216,35.16600049,129.1336495,"[35.16600049, 129.1336495]","[35.16600049, 129.1336495]"
217,35.16527167,129.1689126,"[35.16527167, 129.1689126]","[35.16527167, 129.1689126]"
218,35.23009692,129.1494704,"[35.23009692, 129.1494704]","[35.23009692, 129.1494704]"
219,35.2304817,129.1504487,"[35.2304817, 129.1504487]","[35.2304817, 129.1504487]"
220,35.15852204,129.1545942,"[35.15852204, 129.1545942]","[35.15852204, 129.1545942]"
221,35.15851943,129.1561997,"[35.15851943, 129.1561997]","[35.15851943, 129.1561997]"
222,35.15996697,129.143411,"[35.15996697, 129.143411]","[35.15996697, 129.143411]"
223,35.18454925,129.1182895,"[35.18454925, 129.1182895]","[35.18454925, 129.1182895]"
224,35.18434861,129.1181124,"[35.18434861, 129.1181124]","[35.18434861, 129.1181124]"
225,35.18418927,129.1184393,"[35.18418927, 129.1184393]","[35.18418927, 129.1184393]"
226,35.18443261,129.1186097,"[35.18443261, 129.1186097]","[35.18443261, 129.1186097]"
227,35.19323212,129.1294447,"[35.19323212, 129.1294447]","[35.19323212, 129.1294447]"
228,35.23420869,129.1563984,"[35.23420869, 129.1563984]","[35.23420869, 129.1563984]"
229,35.19100079,129.2044023,"[35.19100079, 129.2044023]","[35.19100079, 129.2044023]"
230,35.21248407,129.1268791,"[35.21248407, 129.1268791]","[35.21248407, 129.1268791]"
231,35.2275318,129.1466218,"[35.2275318, 129.1466218]","[35.2275318, 129.1466218]"
232,35.17434661,129.1837868,"[35.17434661, 129.1837868]","[35.17434661, 129.1837868]"
233,35.16336227,129.1418087,"[35.16336227, 129.1418087]","[35.16336227, 129.1418087]"
234,35.21995897,129.1277521,"[35.21995897, 129.1277521]","[35.21995897, 129.1277521]"
235,35.16326191,129.1364019,"[35.16326191, 129.1364019]","[35.16326191, 129.1364019]"
236,35.16815768,129.1742063,"[35.16815768, 129.1742063]","[35.16815768, 129.1742063]"
237,35.18722407,129.1171438,"[35.18722407, 129.1171438]","[35.18722407, 129.1171438]"
238,35.17062668,129.1312357,"[35.17062668, 129.1312357]","[35.17062668, 129.1312357]"
239,35.17744727,129.1254679,"[35.17744727, 129.1254679]","[35.17744727, 129.1254679]"
240,35.17719829,129.1254724,"[35.17719829, 129.1254724]","[35.17719829, 129.1254724]"
241,35.17708407,129.1257805,"[35.17708407, 129.1257805]","[35.17708407, 129.1257805]"
242,35.17736079,129.1257786,"[35.17736079, 129.1257786]","[35.17736079, 129.1257786]"
243,35.21679489,129.1247294,"[35.21679489, 129.1247294]","[35.21679489, 129.1247294]"
244,35.18356972,129.1232044,"[35.18356972, 129.1232044]","[35.18356972, 129.1232044]"
245,35.19402413,129.1160106,"[35.19402413, 129.1160106]","[35.19402413, 129.1160106]"
246,35.17913144,129.1224162,"[35.17913144, 129.1224162]","[35.17913144, 129.1224162]"
247,35.17920895,129.122562,"[35.17920895, 129.122562]","[35.17920895, 129.122562]"
248,35.16123873,129.1608581,"[35.16123873, 129.1608581]","[35.16123873, 129.1608581]"
249,35.16084676,129.1611853,"[35.16084676, 129.1611853]","[35.16084676, 129.1611853]"
250,35.16658493,129.1313177,"[35.16658493, 129.1313177]","[35.16658493, 129.1313177]"
251,35.16702968,129.1323868,"[35.16702968, 129.1323868]","[35.16702968, 129.1323868]"
252,35.16714963,129.1326644,"[35.16714963, 129.1326644]","[35.16714963, 129.1326644]"
253,35.17128655,129.1323656,"[35.17128655, 129.1323656]","[35.17128655, 129.1323656]"
254,35.17104331,129.1325772,"[35.17104331, 129.1325772]","[35.17104331, 129.1325772]"
255,35.17220691,129.1275653,"[35.17220691, 129.1275653]","[35.17220691, 129.1275653]"
256,35.17236759,129.1275732,"[35.17236759, 129.1275732]","[35.17236759, 129.1275732]"
257,35.17243545,129.1272936,"[35.17243545, 129.1272936]","[35.17243545, 129.1272936]"
258,35.17330101,129.128913,"[35.17330101, 129.128913]","[35.17330101, 129.128913]"
259,35.17307038,129.1288441,"[35.17307038, 129.1288441]","[35.17307038, 129.1288441]"
260,35.17310653,129.1291833,"[35.17310653, 129.1291833]","[35.17310653, 129.1291833]"
261,35.173313,129.1292937,"[35.173313, 129.1292937]","[35.173313, 129.1292937]"
262,35.17463151,129.1258171,"[35.17463151, 129.1258171]","[35.17463151, 129.1258171]"
263,35.17465878,129.1261639,"[35.17465878, 129.1261639]","[35.17465878, 129.1261639]"
264,35.17487392,129.1262615,"[35.17487392, 129.1262615]","[35.17487392, 129.1262615]"
265,35.18195437,129.1220537,"[35.18195437, 129.1220537]","[35.18195437, 129.1220537]"
266,35.18171606,129.1220259,"[35.18171606, 129.1220259]","[35.18171606, 129.1220259]"
267,35.1816336,129.1222739,"[35.1816336, 129.1222739]","[35.1816336, 129.1222739]"
268,35.18185982,129.1222842,"[35.18185982, 129.1222842]","[35.18185982, 129.1222842]"
269,35.18024581,129.1231927,"[35.18024581, 129.1231927]","[35.18024581, 129.1231927]"
270,35.16775103,129.1692288,"[35.16775103, 129.1692288]","[35.16775103, 129.1692288]"
271,35.16959658,129.1713761,"[35.16959658, 129.1713761]","[35.16959658, 129.1713761]"
272,35.17039058,129.172319,"[35.17039058, 129.172319]","[35.17039058, 129.172319]"
273,35.16835123,129.1765667,"[35.16835123, 129.1765667]","[35.16835123, 129.1765667]"
274,35.17070548,129.1288298,"[35.17070548, 129.1288298]","[35.17070548, 129.1288298]"
275,35.17078019,129.1285916,"[35.17078019, 129.1285916]","[35.17078019, 129.1285916]"
276,35.17089942,129.1288397,"[35.17089942, 129.1288397]","[35.17089942, 129.1288397]"
277,35.16897504,129.1279727,"[35.16897504, 129.1279727]","[35.16897504, 129.1279727]"
278,35.16996965,129.1271306,"[35.16996965, 129.1271306]","[35.16996965, 129.1271306]"
279,35.17001563,129.1268373,"[35.17001563, 129.1268373]","[35.17001563, 129.1268373]"
280,35.16975394,129.127069,"[35.16975394, 129.127069]","[35.16975394, 129.127069]"
